# LGPL-SOURCES.tsv — 카피레프트 "대응 소스"를 매체에 함께 실을 목록 (사람이 관리한다)
#
#   65-collect-copyleft-sources.sh 가 이 표를 읽어 licenses/copyleft-sources/ 로 내려받는다.
#   ★ 여기 없는 항목은 <매체에 소스가 실리지 않는다>. 그 대신
#     licenses/manual/LGPL-SOURCE-OFFER.md 의 서면 제공 확약이 의무를 대신한다.
#     어느 쪽인지는 그 문서의 표에 명시되어 있어야 한다 — 이 파일만 고치고 그 문서를
#     안 고치면 "실었다고 적혀 있는데 실제로는 없는" 상태가 된다.
#
#   컬럼(탭 구분): component <TAB> version <TAB> url <TAB> sha256 <TAB> note
#     · sha256 이 비면 검증 없이 받는다(강한 경고). 가급적 채운다.
#     · '#' 로 시작하는 줄과 빈 줄은 무시한다.
#
#   ⚠ 값을 추정해서 넣지 마라. 버전은 <반입물에서 실측한 것>이어야 한다.
#     아래 두 FFmpeg/hibernate 값의 근거는 LGPL-SOURCE-OFFER.md 의 「무엇을 어떻게 확인했나」 절.
#
# component	version	url	sha256	note
ffmpeg	8.0.1	https://ffmpeg.org/releases/ffmpeg-8.0.1.tar.xz	05ee0b03119b45c0bdb4df654b96802e909e0a752f72e4fe3794f487229e5a41	opencv-python wheel 에 번들된 LGPL-2.1+ FFmpeg 의 대응 소스
hibernate-core	6.5.2.Final	https://repo1.maven.org/maven2/org/hibernate/orm/hibernate-core/6.5.2.Final/hibernate-core-6.5.2.Final-sources.jar	176260131e510337fd476eee3f61d157251dda7411b87daebefa547f33183528	LGPL-2.1-or-later (POM 선언)
hibernate-commons-annotations	6.0.6.Final	https://repo1.maven.org/maven2/org/hibernate/common/hibernate-commons-annotations/6.0.6.Final/hibernate-commons-annotations-6.0.6.Final-sources.jar	5f9ef9fcd3a6942102f4857a4c7fb2a85e203d9a6ece7d700ec7d1f789411991	LGPL-2.1-or-later (POM 선언)
qtbase	5.15.18	https://download.qt.io/archive/qt/5.15/5.15.18/submodules/qtbase-everywhere-opensource-src-5.15.18.tar.xz	7b632550ea1048fc10c741e46e2e3b093e5ca94dfa6209e9e0848800e247023b	opencv-python wheel 에 번들된 LGPL-3.0 Qt 5 (Core/Gui/Widgets/Test/XcbQpa) 의 대응 소스
#
# ---- 「Qt 전체(qt-everywhere)」를 싣지 않는 이유 ----
#   qt-everywhere-opensource-src-5.15.18.tar.xz 는 664MB 로 매체 나머지를 압도한다.
#   그런데 wheel 에 실제로 번들된 Qt 모듈은 Core·Gui·Widgets·Test·XcbQpa 다섯이고
#   <다섯 모두 qtbase 소속>이다(실측). LGPL-3.0 이 요구하는 것은 그 라이브러리의
#   대응 소스이지 Qt 전체가 아니므로 qtbase(51MB)로 충분하다.
#   ⚠ 장차 wheel 이 qtsvg·qtimageformats 같은 다른 서브모듈을 번들하기 시작하면
#     그 서브모듈 tarball 을 여기 <추가>해야 한다. 65 단계의 Qt 대응성 검증이
#     번들 모듈을 열거하므로, 목록에 없는 모듈이 나타나면 그 로그에서 드러난다.
