공통표준도메인명,분류,데이터타입,길이,저장 형식,표현 형식,허용값,제정차수
여부C1,여부,C,1,1자리 문자,Y or N,"Y : 여(예), N : 부(아니요)",8차(2025-11)
유무C1,유무,C,1,1자리 문자,Y or N,"Y : 유(있음),  N : 무(없음)",8차(2025-11)
코드C1,코드,C,1,1자리 문자,9,"1: 일반경쟁, 2:지명경쟁",8차(2025-11)
사업자등록번호C10,사업자등록번호,C,10,10자리 문자,999-99-99999,,8차(2025-11)
코드C10,코드,C,10,10자리 문자,,"1100000000 : 서울특별시, 1111000000 : 서울특별시 종로구 …",8차(2025-11)
운전면허번호C12,운전면허번호,C,12,12자리 문자,,,8차(2025-11)
코드C12,코드,C,12,12자리 문자,,"116501000001 : 서울특별시 서초구 경부고속도로, 264101000001 : 부산광역시 금정구 경부고속도로 …",8차(2025-11)
외국인등록번호C13,외국인등록번호,C,13,13자리 문자,999999-9999999,"(7번째 자리)  -1900년대  남(5),여(6)  -2000년대  남(7),여(8) (12번째 자리)   - 외국인(9)  - 재외국인(8)  - 동포(7)",8차(2025-11)
법인등록번호C13,법인등록번호,C,13,13자리 문자,999999-9999999,,8차(2025-11)
주민등록번호C13,주민등록번호,C,13,13자리 문자,999999-9999999,,8차(2025-11)
아이핀번호C13,아이핀번호,C,13,13자리 문자,,,8차(2025-11)
우편번호C13,우편번호,C,13,13자리 문자,9-9999-99999999,,8차(2025-11)
번호C13,번호,C,13,13자리 문자,,,8차(2025-11)
차대번호C17,차대번호,C,17,17자리 문자,AAAAA99AAA9999999,,8차(2025-11)
일련번호C2,일련번호,C,2,2자리 문자,,,8차(2025-11)
코드C2,코드,C,2,2자리 문자,99,"01 : (철근)콘크리트, 02 : 기와 …",8차(2025-11)
월C2,월,C,2,MM,MM,MM : 01~12,8차(2025-11)
번호C24,번호,C,24,24자리 문자,,,8차(2025-11)
코드C3,코드,C,3,3자리 문자,,"004 : 아프가니스탄, 008 : 알바니아 …",8차(2025-11)
시분C4,시분,C,4,HH24MI,HH:MI,"HH : 00~23,  MI : 00~59",8차(2025-11)
연도C4,연도,C,4,YYYY,YYYY,YYYY : 0001~9999,8차(2025-11)
코드C4,코드,C,4,4자리 문자,,"0100 : 신축, 0200 : 증축  …",8차(2025-11)
우편번호C5,우편번호,C,5,5자리 문자,99999,,8차(2025-11)
코드C5,코드,C,5,5자리 문자,법정동(10자리)의 구성 중 앞자리 부터 광역시(2자리)+시군구(3자리),"00001 : 관리관, 00002 : 교정이사관 …",8차(2025-11)
구우편번호C6,구우편번호,C,6,6자리 문자,999-999,,8차(2025-11)
시분초C6,시분초,C,6,HH24MISS,HH:MI:SS,"HH : 00~23,  MI : 00~59,  SS : 00~59",8차(2025-11)
번호C6,번호,C,6,6자리 문자,,,8차(2025-11)
연월C6,연월,C,6,YYYYMM,YYYY-MM,"YYYY : 0001~9999, MM : 01~12",8차(2025-11)
번호C7,번호,C,7,7자리 문자,,,8차(2025-11)
코드C7,코드,C,7,7자리 문자,,1741000 : 행정안전부 …,8차(2025-11)
연월일C8,연월일,C,8,YYYYMMDD,YYYY-MM-DD,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",8차(2025-11)
번호C8,번호,C,8,8자리 문자,,,8차(2025-11)
코드C8,코드,C,8,8자리 문자,,"10000000 : 지방세수입, 11000000 : 지방세 …",8차(2025-11)
여권번호C9,여권번호,C,9,9자리 문자,M99999999_S99999999_R99999999_G99999999_D99999999_T99999999,M(복수여권) S(단수여권) R(거주여권) G(관용여권) D(외교관여권) T(여행증명서),8차(2025-11)
번호C9,번호,C,9,9자리 문자,,,8차(2025-11)
연월일시분초D,연월일시분초,D,,YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",8차(2025-11)
일련번호N10,일련번호,N,10,9999999999,9999999999,,8차(2025-11)
가격N10,가격,N,10,9999999999,"9,999,999,999",,8차(2025-11)
순서N10,순서,N,10,9999999999,9999999999,,8차(2025-11)
수N10,수,N,10,9999999999,"9,999,999,999",,8차(2025-11)
"수N10,3",수,N,"10,3",9999999.999,9999999.999,,8차(2025-11)
"수N10,5",수,N,"10,5",99999.99999,99999.99999,,8차(2025-11)
"위도N12,10",위도,N,"12,10",99.9999999999,99.9999999999,,8차(2025-11)
"율N12,6",율,N,"12,6",999999.999999,999999.999999,,8차(2025-11)
"비율N12,9",비율,N,"12,9",999.999999999,999.999999999,,8차(2025-11)
금액N13,금액,N,13,9999999999999,"9,999,999.999,999",,8차(2025-11)
"경도N13,10",경도,N,"13,10",999.9999999999,999.9999999999,,8차(2025-11)
"좌표N13,10",좌표,N,"13,10",999.9999999999,999.9999999999,,8차(2025-11)
"비율N13,9",비율,N,"13,9",9999.999999999,9999.999999999,,8차(2025-11)
수N14,수,N,14,99999999999999,"99,999,999,999,999",,8차(2025-11)
가격N15,가격,N,15,999999999999999,"999,999,999,999,999",,8차(2025-11)
금액N15,금액,N,15,999999999999999,"999,999,999,999,999",,8차(2025-11)
비용N15,비용,N,15,999999999999999,"999,999,999,999,999",,8차(2025-11)
요금N15,요금,N,15,999999999999999,"999,999,999,999,999",,8차(2025-11)
"단면적N15,4",단면적,N,"15,4",99999999999.9999,"99,999,999,999.9999",,8차(2025-11)
"수N15,4",수,N,"15,4",99999999999.9999,99999999999.9999,,8차(2025-11)
금액N17,금액,N,17,99999999999999999,"99,999,999,999,999,999",,8차(2025-11)
금액N18,금액,N,18,999999999999999999,"999,999,999,999,999,999",,8차(2025-11)
"면적N19,9",면적,N,"19,9",9999999999.999999999,"9,999,999,999.999999999",,8차(2025-11)
수N2,수,N,2,99,99,1~99,8차(2025-11)
"수N20,9",수,N,"20,9",99999999999.999999999,99999999999.999999999,,8차(2025-11)
일련번호N22,일련번호,N,22,9999999999999999999999,9999999999999999999999,,8차(2025-11)
"수N22,10",수,N,"22,10",999999999999.9999999999,999999999999.9999999999,,8차(2025-11)
"금액N22,2",금액,N,"22,2",99999999999999999999.99,"99,999,999,999,999,999,999.99",,8차(2025-11)
"요금N22,2",요금,N,"22,2",99999999999999999999.99,"99,999,999,999,999,999,999.99",,8차(2025-11)
"수N22,6",수,N,"22,6",9999999999999999.999999,9999999999999999.999999,,8차(2025-11)
수N3,수,N,3,999,999,,8차(2025-11)
본번N4,본번,N,4,9999,9999,,8차(2025-11)
부번N4,부번,N,4,9999,9999,,8차(2025-11)
수N4,수,N,4,9999,9999,,8차(2025-11)
"수N4,2",수,N,"4,2",99.99,99.99,,8차(2025-11)
건물본번N5,건물본번,N,5,99999,99999,,8차(2025-11)
건물부번N5,건물부번,N,5,99999,99999,,8차(2025-11)
"율N5,2",율,N,"5,2",999.99,999.99,,8차(2025-11)
"율N6,2",율,N,"6,2",9999.99,9999.99,,8차(2025-11)
수N7,수,N,7,9999999,9999999,,8차(2025-11)
"수N7,2",수,N,"7,2",99999.99,99999.99,,8차(2025-11)
"율N7,2",율,N,"7,2",99999.99,99999.99,,8차(2025-11)
"수N8,2",수,N,"8,2",999999.99,999999.99,,8차(2025-11)
"수N8,3",수,N,"8,3",99999.999,99999.999,,8차(2025-11)
"가격N9,2",가격,N,"9,2",9999999.99,9999999.99,,8차(2025-11)
건물번호V10,건물번호,V,10,10자리 이내 문자,99999-99999,,8차(2025-11)
번호V10,번호,V,10,10자리 이내 문자,,,8차(2025-11)
번호V100,번호,V,100,100자리 이내 문자,,,8차(2025-11)
명V100,명,V,100,100자리 이내 문자,,,8차(2025-11)
