screen	section	comp_idx	type	label	custom_name	variant	triggers_api	binds_to	state	validation	placeholder	options	note_len
SCREEN-001	① 세션 확인 (로딩)	0.0	Custom	세션을 확인하는 중	Spinner				"""loading"""				38
SCREEN-001	② 인증 실패 안내	1.0	Alert	로그인 서버 연결 실패 / 세션 만료 안내		destructive			"""error"""				51
SCREEN-002	안내 헤더	0.0	Heading	권한 부여 필요									0
SCREEN-002	안내 헤더	0.1	Custom	관리자에게 받은 패스워드로 역할을 부여받으세요.	SubText								0
SCREEN-002	역할 선택	1.0	RadioGroup	역할 선택				"""role"""				"[""작업자 (WORKER)"", ""검수자 (REVIEWER)""]"	0
SCREEN-002	권한 부여 폼	2.0	Input	관리자 패스워드				"""adminPassword"""			관리자에게 받은 패스워드를 입력하세요		40
SCREEN-002	권한 부여 폼	2.1	Alert	에러 메시지		destructive			"""hidden"""				22
SCREEN-002	권한 부여 폼	2.2	Button	권한 부여 확인		primary	API-007						0
SCREEN-003	접근 거부 안내 hero	0.0	Custom	잠금 아이콘 (lucide Lock, 붉은 원형 배지)	LockIconBadge								0
SCREEN-003	접근 거부 안내 hero	0.1	Heading	이 화면에 접근할 수 없습니다									0
SCREEN-003	접근 거부 안내 hero	0.2	Custom	현재 역할로는 이 페이지에 접근 권한이 없습니다.	Description								0
SCREEN-003	현재 역할 표시 + 대시보드 이동	1.0	Badge	현재 역할 배지 (검수자/작업자/포털)				"""useAuthStore.claims.role"""					0
SCREEN-003	현재 역할 표시 + 대시보드 이동	1.1	Button	대시보드로		primary							13
SCREEN-004	DEV 안내 헤더	0.0	Heading	Dev Login									0
SCREEN-004	DEV 안내 헤더	0.1	Custom	DEV 빌드 전용	Badge								9
SCREEN-004	DEV 안내 헤더	0.2	Custom	안내 문구: 로컬·개발 환경에서 관제서버 없이 토큰을 발급합니다. 운영 배포에는 포함되지 않습니다.	Text								0
SCREEN-004	토큰 발급 폼	1.0	RadioGroup	역할 선택				"""role"""				"[""REVIEWER (1001, 김검수) · INTERNAL"", ""WORKER (2001, 최라벨) · INTERNAL"", ""PORTAL_USER (3001, 홍길동) · PORTAL""]"	0
SCREEN-004	토큰 발급 폼	1.1	Input	userNo (선택)				"""userNo"""			역할별 기본값(예 1001)		0
SCREEN-004	토큰 발급 폼	1.2	Input	expSeconds (선택)				"""expSeconds"""			3600		16
SCREEN-004	토큰 발급 폼	1.3	Alert	토큰 발급 실패 / localStorage 저장 실패 등 에러 메시지		destructive			"""hidden"""				35
SCREEN-004	토큰 발급 폼	1.4	Button	토큰 발급 + 진입		primary							63
SCREEN-005	라벨링 헤더 바	0.0	Button	× 닫기		ghost							35
SCREEN-005	라벨링 헤더 바	0.1	Heading	CCTV명 / 프레임명									0
SCREEN-005	라벨링 헤더 바	0.2	Badge	이벤트 유형									32
SCREEN-005	라벨링 헤더 바	0.3	Text	Frame N / 총 프레임									13
SCREEN-005	라벨링 헤더 바	0.4	Text	● 편집 중 / ✓ 저장됨									11
SCREEN-005	라벨링 헤더 바	0.5	Text	N개 객체									0
SCREEN-005	라벨링 헤더 바	0.6	Badge	DEID / RAW									20
SCREEN-005	라벨링 헤더 바	0.7	Button	비식별 누락 신고		secondary	API-032						37
SCREEN-005	라벨링 헤더 바	0.8	Button	히스토리		outline	API-034						28
SCREEN-005	라벨링 헤더 바	0.9	Button	저장		primary	API-019						20
SCREEN-005	라벨링 헤더 바	0.10	Button	검수제출		primary							33
SCREEN-005	좌측 도구바	1.0	Button	선택 (S)									15
SCREEN-005	좌측 도구바	1.1	Button	바운딩박스 (B)									13
SCREEN-005	좌측 도구바	1.2	Button	폴리곤 (P)									16
SCREEN-005	좌측 도구바	1.3	Button	SAM 분할 (G)			API-093						89
SCREEN-005	좌측 도구바	1.4	Button	SAM 추적 (T)			API-020						75
SCREEN-005	좌측 도구바	1.5	Button	삭제 (Del)									17
SCREEN-005	좌측 도구바	1.6	Button	실행취소 (Ctrl+Z)									4
SCREEN-005	좌측 도구바	1.7	Button	저장 (Ctrl+S)			API-019						10
SCREEN-005	좌측 도구바	1.8	Button	키포인트 (K)									63
SCREEN-005	좌측 도구바	1.9	Button	오토라벨 (YOLO)		secondary	API-124						54
SCREEN-005	라벨 마스터 사이드바	2.0	List	라벨 목록			API-024						39
SCREEN-005	라벨링 캔버스	3.0	Custom	라벨링 캔버스	KonvaCanvasStage		API-021						39
SCREEN-005	라벨링 캔버스	3.1	Custom	SAM2 자동추적	Sam2TrackTool		API-020						32
SCREEN-005	우측 객체·속성·메타 패널	4.0	Custom	객체 목록	ObjectClassTree		API-018						24
SCREEN-005	우측 객체·속성·메타 패널	4.1	Select	라벨			API-024						32
SCREEN-005	우측 객체·속성·메타 패널	4.2	Custom	신뢰도	ConfidenceBar								22
SCREEN-005	우측 객체·속성·메타 패널	4.3	Input	X/Y/W/H 좌표									21
SCREEN-005	우측 객체·속성·메타 패널	4.4	Textarea	시계열 메타(VLM 텍스트)			API-066						10
SCREEN-005	우측 객체·속성·메타 패널	4.5	Button	메타 저장		primary	API-067						10
SCREEN-005	우측 객체·속성·메타 패널	4.6	Custom	시계열 메타 탭	MetaSection								48
SCREEN-005	버전 이력 인라인 패널	5.0	List	커밋 목록			API-034						48
SCREEN-005	버전 이력 인라인 패널	5.1	Custom	변경 내용 (Diff)	DiffViewer		API-035						0
SCREEN-005	버전 이력 인라인 패널	5.2	Button	롤백		secondary	API-036						30
SCREEN-005	하단 프레임 타임라인	6.0	Custom	프레임 썸네일 strip	DarkFrameStrip		API-021						15
SCREEN-005	하단 프레임 타임라인	6.1	Custom	프레임 슬라이더	DarkFrameSlider								21
SCREEN-005	확인·신고 모달	7.0	Dialog	저장 안 한 변경사항									23
SCREEN-005	확인·신고 모달	7.1	Button	저장 후 닫기		primary	API-019						0
SCREEN-005	확인·신고 모달	7.2	Dialog	비식별 누락 신고									18
SCREEN-005	확인·신고 모달	7.3	Textarea	신고 사유									7
SCREEN-005	확인·신고 모달	7.4	Button	신고하기		destructive							27
SCREEN-005	키포인트 인체 가이드	8.0	Custom	인체 포즈 가이드	KeypointGuide		API-019						32
SCREEN-005	프레임 설명 패널	9.0	Textarea	프레임 설명(NIA image.description)			API-129						24
SCREEN-005	프레임 설명 패널	9.1	Button	설명 저장		primary	API-129						0
SCREEN-005	트랙 편집 (삭제/분할/머지)	10.0	Button	트랙 삭제(이후 프레임)		destructive	API-126						56
SCREEN-005	트랙 편집 (삭제/분할/머지)	10.1	Button	트랙 분할		secondary	API-127						56
SCREEN-005	트랙 편집 (삭제/분할/머지)	10.2	Button	트랙 병합		secondary	API-125						36
SCREEN-005	트랙 편집 (삭제/분할/머지)	10.3	Button	YOLO 트랙(인터랙티브)		outline	API-123						33
SCREEN-005	이벤트 어노테이션 패널	11.0	Heading	이벤트 어노테이션(VQA/CoT)									0
SCREEN-005	이벤트 어노테이션 패널	11.1	Badge	검토 상태			API-132						40
SCREEN-005	이벤트 어노테이션 패널	11.2	Text	event_class(필수)									0
SCREEN-005	이벤트 어노테이션 패널	11.3	Textarea	caption(수동입력)			API-134						53
SCREEN-005	이벤트 어노테이션 패널	11.4	Custom	evidence(근거 객체)	EvidenceLinker								25
SCREEN-005	이벤트 어노테이션 패널	11.5	Button	어노테이션 저장		primary	API-134						0
SCREEN-005	이벤트 어노테이션 패널	11.6	Button	승인		primary	API-133						8
SCREEN-005	이벤트 어노테이션 패널	11.7	Button	반려		destructive	API-135						15
SCREEN-005	오토라벨 클래스·정밀도 모달	12.0	Heading	오토라벨(AI 탐지) 설정									0
SCREEN-005	오토라벨 클래스·정밀도 모달	12.1	Custom	검출 클래스 선택	AutolabelClassModal								26
SCREEN-005	오토라벨 클래스·정밀도 모달	12.2	Select	도형(shape)								"[""BBOX"", ""POLYGON""]"	0
SCREEN-005	오토라벨 클래스·정밀도 모달	12.3	Custom	정밀도(confThreshold) 슬라이더	YoloConfigCard								29
SCREEN-005	오토라벨 클래스·정밀도 모달	12.4	Input	폴리곤 단순화(simplifyTolerance)									25
SCREEN-005	오토라벨 클래스·정밀도 모달	12.5	Button	오토라벨 실행		primary	API-124						0
SCREEN-005	개인정보·촬영환경 메타 패널	13.0	Custom	개인정보 메타 (프레임 축)	FramePrivacyMetaPanel							"[""anonymity"", ""pseudonymity"", ""privacyIncluded""]"	84
SCREEN-005	개인정보·촬영환경 메타 패널	13.1	Custom	개인정보 메타 (영상 축)	VideoPrivacyMetaPanel							"[""anonymity"", ""pseudonymity"", ""privacyIncluded""]"	111
SCREEN-005	개인정보·촬영환경 메타 패널	13.2	Custom	촬영환경 메타	EnvironmentMetaPanel							"[""weather"", ""timeOfDay"", ""season""]"	54
SCREEN-006	① 영상 플레이어 (스트리밍·배속)	0.0	Custom	영상 플레이어	VideoPlayer								53
SCREEN-006	① 영상 플레이어 (스트리밍·배속)	0.1	Button	재생 / 일시정지		secondary							0
SCREEN-006	① 영상 플레이어 (스트리밍·배속)	0.2	Custom	배속 0.25x~4x	SpeedButtons								0
SCREEN-006	① 영상 플레이어 (스트리밍·배속)	0.3	Custom	탐색 슬라이더(range)	SeekBar								0
SCREEN-006	① 영상 플레이어 (스트리밍·배속)	0.4	Heading	현재시각 / 총길이 (mm:ss)									0
SCREEN-006	② 마킹 타임라인	1.0	Custom	타임라인 마킹 막대	MarkingTimeline			"""localMarks"""					0
SCREEN-006	③ 마킹 툴바 (모드·완료·비식별 신고)	2.0	Custom	자동 / 수동 모드	ModeToggle								0
SCREEN-006	③ 마킹 툴바 (모드·완료·비식별 신고)	2.1	Input	간격(프레임)				"""intervalFrames"""			300		32
SCREEN-006	③ 마킹 툴바 (모드·완료·비식별 신고)	2.2	Button	초기화		secondary							0
SCREEN-006	③ 마킹 툴바 (모드·완료·비식별 신고)	2.3	Button	마킹 완료		primary	API-047		"""disabled"""				0
SCREEN-006	③ 마킹 툴바 (모드·완료·비식별 신고)	2.4	Button	비식별 누락 신고		secondary	API-091						175
SCREEN-006	③ 마킹 툴바 (모드·완료·비식별 신고)	2.5	Custom	신고 불가 사유 툴팁	UnsupportedReasonTooltip								194
SCREEN-006	④ 현재 마킹 칩 목록	3.0	Custom	마킹 칩 (F{frame} (mm:ss))	MarkChip			"""localMarks"""					0
SCREEN-006	⑤ 배치단계 인디케이터	4.0	Custom	배치단계 인디케이터	BatchStageIndicator		API-043						24
SCREEN-006	⑤ 배치단계 인디케이터	4.1	Progress	단계 진행률									0
SCREEN-007	페이지 헤더 + 새로고침	0.0	Heading	영상 처리 현황									0
SCREEN-007	페이지 헤더 + 새로고침	0.1	Button	새로고침		secondary							39
