screen	idx	name	role	layout	n_comp	refs_apis	refs_features	desc_len
SCREEN-001	0	① 세션 확인 (로딩)	main	stack	1			381
SCREEN-001	1	② 인증 실패 안내	main	stack	1			332
SCREEN-002	0	안내 헤더	header	stack	2			96
SCREEN-002	1	역할 선택	main	form	1			98
SCREEN-002	2	권한 부여 폼	main	form	3	API-007		254
SCREEN-003	0	접근 거부 안내 hero	hero	stack	3			204
SCREEN-003	1	현재 역할 표시 + 대시보드 이동	main	stack	2			188
SCREEN-004	0	DEV 안내 헤더	header	stack	3			174
SCREEN-004	1	토큰 발급 폼	main	form	5			409
SCREEN-005	0	라벨링 헤더 바	header	stack	11	API-019;API-032;API-034		845
SCREEN-005	1	좌측 도구바	navigation	stack	10	API-124;API-093;API-020		542
SCREEN-005	2	라벨 마스터 사이드바	side	list	1	API-024		233
SCREEN-005	3	라벨링 캔버스	main	detail	2	API-018;API-021;API-020		815
SCREEN-005	4	우측 객체·속성·메타 패널	side	stack	7	API-018;API-024;API-066;API-067		467
SCREEN-005	5	버전 이력 인라인 패널	side	list	3	API-034;API-035;API-182;API-036		737
SCREEN-005	6	하단 프레임 타임라인	footer	list	2	API-018;API-021		281
SCREEN-005	7	확인·신고 모달	modal	form	5	API-019		890
SCREEN-005	8	키포인트 인체 가이드	main	detail	1	API-019		204
SCREEN-005	9	프레임 설명 패널	side	form	2	API-128;API-129		238
SCREEN-005	10	트랙 편집 (삭제/분할/머지)	side	stack	4	API-125;API-126;API-127;API-123		216
SCREEN-005	11	이벤트 어노테이션 패널	side	form	8	API-132;API-134;API-133;API-135		341
SCREEN-005	12	오토라벨 클래스·정밀도 모달	modal	form	6	API-124	FEAT-007	332
SCREEN-005	13	개인정보·촬영환경 메타 패널	main	form	3			623
SCREEN-006	0	① 영상 플레이어 (스트리밍·배속)	hero	stack	5			254
SCREEN-006	1	② 마킹 타임라인	main	stack	1			148
SCREEN-006	2	③ 마킹 툴바 (모드·완료·비식별 신고)	filter	form	6	API-047;API-091		405
SCREEN-006	3	④ 현재 마킹 칩 목록	side	list	1			138
SCREEN-006	4	⑤ 배치단계 인디케이터	main	stack	2	API-043		252
SCREEN-007	0	페이지 헤더 + 새로고침	header	stack	2	API-042		120
SCREEN-007	1	검색·필터 (VideoFilters)	filter	form	7	API-042		700
SCREEN-007	2	일괄 배정 바 (REVIEWER 전용)	main	stack	1	API-070		203
SCREEN-007	3	영상 목록 테이블 + 페이지네이션	main	list	10	API-042;API-047;API-071		576
SCREEN-007	4	작업자 재배정/일괄 배정 모달 (AssignModal, REVIEWER 전용)	main	stack	1	API-070;API-071		422
SCREEN-007	5	마킹 진입 팝업 (MarkingModal, REVIEWER 전용)	modal	form	5	API-047;API-070		338
SCREEN-009	0	영상 헤더 카드	hero	detail	6	API-043;API-021;API-112		617
SCREEN-009	1	탭 네비게이션	navigation	tabs	1			70
SCREEN-009	2	기본 정보 탭	main	detail	2	API-043		562
SCREEN-009	3	프레임 미리보기 탭	main	grid	2	API-021		199
SCREEN-009	4	프레임 라이트박스 모달	modal	detail	4	API-021		116
SCREEN-009	5	오토라벨 결과 탭	main	dashboard	4	API-044		171
SCREEN-010	0	페이지 헤더	header	stack	3		FEAT-002	132
SCREEN-010	1	커밋 목록	main	list	4	API-034	FEAT-002	558
SCREEN-010	2	변경 내용 (Diff)	main	detail	2	API-035	FEAT-002	490
SCREEN-010	3	롤백	main	detail	2	API-036	FEAT-002	606
SCREEN-011	0	헤더 (제목·현재시각·새로고침)	header	stack	3			134
SCREEN-011	1	KPI 카드 그리드 (역할별)	hero	grid	5	API-055		164
SCREEN-011	2	데이터 개수 카드 (이미지·영상, 이벤트 6종 분포)	main	grid	3	API-055		231
SCREEN-011	3	최근 완료 영상 테이블	main	list	3	API-042		160
SCREEN-011	4	내 작업 현황 테이블 (WORKER 한정)	main	list	4	API-072		184
SCREEN-011	5	에러 상태 배너	main	stack	1	API-055		64
SCREEN-012	0	헤더 (제목·역할 배지·새로고침)	header	stack	3			118
SCREEN-012	1	검색·필터 폼 (TaskFilters)	filter	form	6	API-001;API-137		860
SCREEN-012	2	KPI 카드 (REVIEWER 5종 서버집계 / WORKER 4종 클라이언트집계)	hero	grid	2	API-136		442
SCREEN-012	3	일괄 배정 액션바 (REVIEWER, 1건+ 선택 시)	side	stack	3			102
SCREEN-012	4	작업 목록 테이블 + 페이지네이션	main	list	10	API-072;API-073		348
SCREEN-012	5	작업 배정 모달 (AssignModal)	modal	form	5	API-070;API-071;API-001;API-002		299
SCREEN-012	6	배정 이력 Drawer (HistoryDrawer)	modal	list	5	API-072		200
SCREEN-018	0	검수 현황 KPI	hero	grid	4	API-138		252
SCREEN-018	1	검색·상태 필터	filter	stack	4			190
SCREEN-018	2	검수 목록 테이블	main	list	5	API-008		420
SCREEN-019	0	검수 헤더 (영상 메타·상태)	header	detail	4	API-009;API-013		238
SCREEN-019	1	라벨 캔버스 (읽기 전용)	main	detail	2	API-010;API-021		270
SCREEN-019	2	객체 목록 (카테고리 트리)	side	list	2	API-010		215
SCREEN-019	3	객체 속성 패널	side	detail	2	API-010		164
SCREEN-019	4	검수 메모 패널 (이슈·의견)	side	stack	4	API-011		291
SCREEN-019	5	프레임 타임라인	footer	list	2	API-010;API-021		268
SCREEN-019	6	검수 액션 바 (승인·반려)	footer	stack	4	API-014;API-015		299
SCREEN-020	0	헤더·작업자 선택	header	stack	3	API-056;API-001		270
SCREEN-020	1	KPI 4종	hero	grid	4	API-056		142
SCREEN-020	2	보조 지표 (오토라벨 비율·반려율)	main	grid	2	API-056		114
SCREEN-020	3	일별 작업량 차트 (최근 30일)	main	dashboard	1	API-056		119
SCREEN-020	4	월별 통계 표 (최근 12개월)	main	list	1	API-056		111
SCREEN-021	0	① 헤더 + 리포트 다운로드	header	stack	2	API-058		163
SCREEN-021	1	② 누적 학습데이터 2카드	hero	grid	2	API-057		146
SCREEN-021	2	③ 처리 현황 5카드	main	grid	5	API-057		143
SCREEN-021	3	④ 일별 전체 작업량 막대차트	main	dashboard	1	API-057		122
SCREEN-021	4	⑤ 이벤트 유형 분포	main	dashboard	2	API-057		195
SCREEN-021	5	⑥ 작업자별 현황 테이블	main	list	1	API-057		114
SCREEN-021	6	⑦ 에러 상태	main	stack	1	API-057		58
SCREEN-022	0	SFR-07 안내 배너	header	stack	1		FEAT-004	84
