사업표준단어명,영문약어,영문명,설명,형식단어여부,도메인분류,이음동의어,금칙어,관리기관,변경구분,변경일,출처
값,VALUE,Value,어떤 대상의 크기나 상태를 나타내는 자료,N,,,,,,,
갭,GAP,Gap,Gap. 두 사건·시점 사이의 간격. KLID 2차의 이벤트갭(evnt_gap_sec) — 동일 카메라+동일 표준 이벤트가 N초 이내 재발생 시 수집·전송 스킵 (영상 단위 중복 제거).,N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
망,NET,Network,網. 일정한 목적에 따라 여러 개의 점 또는 선을 서로 연결하여 이루어진 조직이나 체계.,N,,,,,,,
명,NM,Name,"名. 다른 것과 구별하기 위하여 사물, 단체, 현상 따위에 붙여서 부르는 말. ‘이름’의 뜻을 나타내는 말",Y,명,"이름, 명칭",,,,,
비,DE,De,De-. 가치 낮추다. 비활성화하다,N,,,,,,,
셋,SET,Set,하나의 단위로 묶인 데이터 집합,N,,,,,,,
수,CNT,Count,數. 셀 수 있는 사물을 세어서 나타낸 값,Y,수,,,,,,
자,PSN,Person,행위 주체 접미 — 다운로드자·실행자·요청자 등 행위자 표현.,N,,,,,,,KLID-2 사업 자체
전,BFR,Before,시점 분류 — ~의 직전. 실행전스냅샷 등 시점 위치 접두.,N,,,,,,,KLID-2 사업 자체
주,MAIN,Main,"主. 주된 것, 중심이 되는 것, 가장 중요한 것",N,,,,,,,
초,SEC,Second,"秒. 한 시간의 3,600분의 1이 되는 동안을 세는 단위.",Y,수,,,,,,
총,TOTAL,Total,모두 합하여 몇임을 나타내는 말,N,,전체,,,,,
키,KEY,Key,데이터 식별·암호화·인증에 사용되는 값. gov 사전의 '기본키(PK)'·'암호화키(ENKY)'와 별개의 단독 단어.,N,,,,,,,KLID-2 사업 자체
행,ROW,Row,"行. 여러 개의 사물, 글자, 숫자 따위가 가로로 늘어선 줄을 이르는 말.",N,,,,,,,
후,AFT,After,시점 분류 — ~의 직후. 실행후스냅샷 등 시점 위치 접두.,N,,,,,,,KLID-2 사업 자체
가격,PRC,Price,價格. 물건이 지니고 있는 가치를 돈으로 나타낸 것,Y,가격,,,,,,
가로,WDTH,Width,가로. 왼쪽에서 오른쪽으로 나 있는 방향 또는 그 길이,N,,,,,,,
가명,PSDO,pseudonym,실제의 자기 이름이 아닌 이름,N,,,,,,,
가입,JOIN,Join,"加入. 조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 따위를 신청함",N,,,,,,,
각도,ANG,Angle,角度. 두 직선이나 두 평면 또는 직선과 평면이 이루는 벌어진 정도를 수치로 나타낸 것,N,,,,,,,
감시,SURV,Surveillance,監視. 보안·위험·영상을 실시간 관찰(위험요소/침입 등 감시),N,,,,,,,
감지,DETECT,Detect,感知. 센서·AI 등이 사건·상태를 발견함. KLID 2차의 VLM 감지 시점(detect_bgng_sec / detect_end_sec) — 영상 내 상대 초 단위. 현재 미사용이지만 미래 옵션 보존.,N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
강도,INT,Intensity,"強度. 힘, 신호, 빛 등이 센 정도, 세기, 세력 등",N,,,,,,,
개인,INDV,Individuals,"個人. 국가나 사회, 단체 등을 구성하는 낱낱의 사람",N,,,,,,,
거부,DSCD,Discard,Discard. 거부·폐기. discarded_count (검수에서 폐기된 영상 수).,N,,,,,,,
건수,NOCS,The Number Of Cases,件數. 사물이나 사건의 가짓수,Y,수,,,,,,
검수,IGI,Incoming Goods Inspection,"檢收. 물건의 규격, 수량, 품질 따위를 검사한 후 물건을 받음",N,,,,,,,
검출,DTCT,Detection,"이벤트 검출(정탐/오탐 판정). 행안부 공통표준단어 검출(DTCT, gov 187) 채택. 중계서버 VLM 판정 결과 표현 단어.",N,,,,,,,KLID-2 D002 ERD-026 (glossary-align)
결과,RSLT,Result,結果. 어떤 원인으로 결말이 생김. 또는 그런 결말의 상태,N,,,,,,,
결의,RSLTN,Resolution,決議. 의논하여 결정함. 또는 그런 결정,N,,,,,,,
결정,DCSN,Decision,Decision. 어떤 사안을 결단하여 정함. video_decision·previous_decision·new_decision.,N,,,,,,,
경도,LOT,Longitude,"남북 방향의 눈금으로 나타내며, 본초 자오선을 기준(0도)으로 하여 동쪽과 서쪽으로 각각 180도씩 나누어, 지구 표면의 위치를 나타내는 좌표",N,,,,,,,
경로,PATH,Path,經路. 지나는 길,N,,,패스,,,,
계절,SESN,Season,"季節. 규칙적으로 되풀이되는 자연 현상에 따라서 일 년을 구분한 것. 일반적으로 온대 지방은 기온의 차이를 기준으로 하여 봄, 여름, 가을, 겨울의 네 계절",N,,,,,,,
고정,FIX,Fixation,固定. 한번 정한 대로 변경하지 아니함,N,,,,,,,
공원,PARK,Park,公園.  공공 녹지,N,,,,,,,
공지,NTC,Notice,公知. 세상에 널리 알림,N,,,,,,,
공통,COM,Common,共通. 둘 또는 그 이상의 여럿 사이에 두루 통하고 관계됨,N,,,,,,,
관리,MNG,Management,"管理. 어떤 일의 사무를 맡아 처리하거나 시설이나 물건의 유지, 개량 따위의 일을 맡아 함",N,,,,,,,
관제,MON,Monitoring,監視. 어떤 대상이나 상태를 계속 지켜보고 살피는 일,N,,,,,,,
교통,TRF,Traffic,交通. 사람·차량·물자가 이동하는 것,N,,,,,,,
구축,ETBL,Establish,構築. 어떤 시설물을 쌓아 올려 만들거나 체계 따위의 기초를 닦아 세움,N,,,,,,,
국가,NTN,Nation,"國家. 일정한 영토와 거기에 사는 사람들로 구성되고, 주권(主權)에 의한 하나의 통치 조직을 가지고 있는 사회 집단",N,,나라,,,,,
국산,KOR,Korean Made,우리나라에서 생산된 물건이나 제품,N,,,,,,,
권한,AUTHRT,Authority,權限. 어떤 사람이나 기관의 권리나 권력이 미치는 범위,N,,,,,,,
그룹,GROUP,Group,Group. 함께 행동하거나 공통점이 있어 한데 묶일 수 있는 사람들이나 사물의 무리,N,,,,,,,
기간,PRD,Period,其間. 어느 때부터 다른 어느 때까지의 동안,N,,,,,,,
기관,OG,Organization,機關. 사회생활의 영역에서 일정한 역할과 목적을 위하여 설치한 기구나 조직,N,,,,,,,
기관,DP,Department,"部署. 기관, 기업, 조직 따위에서 일이나 사업의 체계에 따라 나뉘어 있는, 사무의 각 부문",N,,,,,,,
기록,RCRD,Record,Record. 사실을 적은 글. recorded_at — audit 기록 시각.,N,,,,,,,
기반,BASE,Base,"기반(基盤) — 시스템·경로의 바탕이 되는 토대/뿌리. 예: 기반 URL(base URL, API 경로의 기준이 되는 최상위 URL). '기본(기초·default, BSC)'과 구분되는 개념.",N,,베이스,,,,,
기법,TECH,Technique,기술적 방법·기법. 증강기법 등 D005 저작도구 컨텍스트.,N,,,,,,,KLID-PT D005 ERD-006
기본,BSC,Basic,"基本. 사물이나 현상, 이론, 시설 따위를 이루는 바탕",N,,,디폴트,,,,
기술,TECH,Technology,技術. 사물을 만들거나 다루는 방법. 과학적 지식의 응용. 숙련된 방법·기능 등,N,,,,,,,
기준,CRTR,Criteria,基準. 기본이 되는 표준,N,,,,,,,
길이,LEN,Length,길이. 한끝에서 다른 한끝까지의 거리,Y,수,,,,,,
날씨,WTHR,Weather,"날씨. 그날그날의 비, 구름, 바람, 기온 따위가 나타나는 기상 상태",N,,,,,,,
납부,PAY,Payment,納付. 돈이나 물품을 관계 기관에 내거나 바침,N,,,,,,,
내용,CN,Content,"內容. 말, 글, 그림, 연출 따위의 모든 표현 매체 속에 들어 있는 것. 또는 그런 것들로 전하고자 하는 것",Y,내용,,,,,,
내장,INTNL,Internal,內藏. 외부 시스템 없이 시스템 내부에 포함된. KLID 2차의 내장관제일지(TB_INTERNAL_MONITORING) — 외부 관제일지 시스템 없는 지자체용 수기입력 테이블.,N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
녹화,RCRD,Record,영상이 촬영·기록된 행위.,N,,,,,,,D004 ERD-010 학습데이터 물리모델
높이,HGT,Height,높이. 높은 정도,Y,수,,,,,,
단가,UNTPRC,Unit Price,單價. 물건 한 단위(單位)의 가격,Y,금액,,,,,,
단계,STP,Step,段階. 일의 차례를 따라 나아가는 과정,N,,,,,,,
단위,UNIT,Unit,"單位. 길이, 무게, 수효, 시간 따위의 수량을 수치로 나타낼 때 기초가 되는 일정한 기준. 근, 되, 자, 그램, 리터, 미터, 초 따위가 있다",N,,,,,,,
닫기,DSMSL,Dismissal,닫기. 팝업 공지 등의 표시를 해제하는 행위.,N,,,,,,,
대수,CNTOM,Count Of Machines,臺數. ‘대’(臺)로 세는 차/기계 따위의 수,Y,수,,,,,,
등록,REG,Registration,登錄. 일정한 자격 조건을 갖추기 위하여 단체나 기관에 문서를 올리거나 법정(法定)의 공부(公簿)에 기재하는 일,N,,,,,,,
등재,RGST,Posting,登載. 생성형 AI 결과 영상을 D002(영상·메타)에 등록·승격하는 행위. promote.,N,,"승격,promote",,,,,KLID-2 D007 ERD-007
라벨,LBL,Label,Label. 파일의 관리나 처리의 편의를 위하여 파일에 붙이는 특별한 항목 표시 기록,N,,,,,,,
레벨,LVL,Level,"Level, 일의 차례를 따라 나아가는 과정",N,,,,,,,
렌즈,LENS,Lens,,N,명,,,,,,D003 ERD-008 정합 (resource_cctvs.lens_type)
로그,LOG,Log,"LOG. 시스템 사용에 관련된 전체의 기록, 즉 입출력 내용, 프로그램 사용 내용, 자료변경 내용, 시작시간, 종료시간 등의 기록",N,,,,,,,
룰셋,RLST,Rule Set,"여러 조건이나 규칙들을 묶어 하나의 집합으로 구성한 것. 시스템에서 이벤트 처리, 접근 제어, 자동화 판단 등에 사용됨",N,,,,,,,
리셋,RESET,Reset,Reset. 초기 상태로 되돌림. KLID 2차의 시퀀스 리셋 주기(reset_cycl_cd) — DAILY/MONTHLY/YEARLY/NONE. 일별 리셋 시 자정 이후 첫 호출에서 current_value=0 초기화.,N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
마감,DDLN,Deadline,"마감. 하던 일을 마물러서 끝냄. 또는 그런 때, 정해진 기한의 끝",N,,,,,,,
만료,EXPD,Expired,기한이 다 차서 끝남,N,,,,,,,
메뉴,MENU,Menu,Menu. 디스플레이 장치 위에 표시하여 둠으로써 사용자가 마우스나 키보드를 이용하여 명령을 선택할 수 있도록 한 조작 순서 일람표,N,,,,,,,
메모,NOTE,Note,Note. 메모·참고. 선별수집응답의 응답자 메모(note 컬럼).,N,,,,,,,
메타,META,Meta,Meta. 어떤 개념을 한 단계 위에서 설명하거나 참조,N,,,,,,,
면허,LCNS,License,免許. 특정한 일을 할 수 있는 공식적인 자격을 행정 기관이 허가함,N,,,,,,,
모델,MDL,Model,Model. 작품을 만들기 전에 미리 만든 물건. 또는 완성된 작품의 대표적인 보기,N,,,,,,,
모드,MODE,Mode,동작 방식·상태 구분. 승인모드·전송모드 등 옵션 분류.,N,,,,,,,KLID-2 사업 자체
목적,PRPS,Purpose,目的. 실현하려고 하는 일이나 나아가는 방향,Y,내용,,,,,,
목표,GOAL,Goal,目標. 어떤 목적을 이루려고 지향하는 실제적 대상으로 삼음 또는 그 대상,N,,,,,,,
무시,IGNR,Ignore,Ignore. 처리에서 제외. is_ignored·ignored_count.,N,,,,,,,
문서,DOC,Document,文書. 글이나 기호 따위로 일정한 의사나 관념 또는 사상을 나타낸 것,N,,,,,,,
발생,OCRC,Occurrence,Occurrence. 이벤트가 일어남. occurred_at — 원시 이벤트 발생 시각.,N,,,,,,,
발행,PBLCN,Publication,發行. 출판물이나 인쇄물을 찍어서 세상에 펴냄,N,,,,,,,
방범,CP,Crime Prevention,防犯. 범죄를 예방하는 것,N,,,,,,,
방법,MTHD,Method,方法. 어떤 목적을 이루기 위해 취하는 구체적인 수단이나 절차,N,,,,,,,
방안,MSRS,Measure,方案. 어떤 목적을 이루거나 문제를 해결하기 위하여 생각해 낸 방법이나 계획,N,,,,,,,
배율,MAG,Magnification,"倍率. 어떤 수치를 기준으로 몇 배가 되었는지 나타내는 비율, 확대/축소의 정도",N,,,,,,,
배치,BAT,Batch,配置. 사람이나 물자 따위를 일정한 자리에 알맞게 나누어 둠. 데이터 처리에서는 일정 단위 묶음 처리(batch processing). 영상 수집 chunk batch 등.,N,,,,,,,
배포,DSTRB,Distribution,Distribution. 문이나 책자 따위를 널리 나누어 줌,N,,,,,,,
백업,BKUP,Backup,"Backup. 상실되거나 파괴된 데이터의 복원을 돕기도 하고 시스템의 작동을 유지하기 위해 사용되는 절차, 기법 또는 하드웨어에 관한 용어",N,,,,,,,
버전,VER,Version,"Version. 어떤 소프트웨어가 몇 번 개정되었는지를 나타내는 번호. 보통 소프트웨어가 처음 출시될 때 버전이 1.0이고, 추후 기존의 기능이 보완되거나 새로운 기능이 추가될 때 버전을 올린다",N,,,,,,,
버킷,BCKT,Bucket,Bucket. 시간 묶음 단위. time_bucket·time_bucket_kind(분/시/일 rollup).,N,,,,,,,
번호,NO,Number,番號. 차례를 나타내거나 식별하기 위해 붙이는 숫자나 문자,Y,번호,,,,,,
범위,RNG,Range,"範圍. 어떤 힘, 작용, 활동 등이 미치는 한계나 영역, 한정된 구역",N,,,,,,,
벤더,VENDOR,Vendor,"Vendor. 솔루션·장비 공급 업체. KLID 2차에서 VMS 벤더(인콘/다누시스/인노덱/마크애니), 선별관제 벤더(IVX/AMS/INCON/INNODEP/MARKANY), 관제일지 벤더(SAENUN/TM_HANA/INTERNAL) 등을 지칭. ERD 다수 테이블의 vendor_cd / vendor_nm / vendor_evnt_cd / vms_vendor_cd 사용.",N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
변경,CHG,Change,變更. 다르게 바꾸어 새롭게 고침,N,,,,,,,
변형,VARIANT,Variant,동일 데이터셋 버전을 배포 목적에 맞게 가공한 변종(형식·구성 차이).,N,,,,,,,D004 ERD-010 학습데이터 물리모델
변환,TRSF,Transformation,變換. 달라져서 바뀜 또는 다르게 하여 바꿈,N,,,,,,,
보안,SCRTY,Security,保安. 안전을 유지함,N,,,,,,,
본체,BODY,Body,Body. 영상 본체 파일(메타와 구분). body_received_at = 본체 NAS commit 완료 시각.,N,,,,,,,
부가,EXTRA,Extra,附加. 주된 것 외에 추가로 덧붙임. ERD 다수 테이블의 extra_atrb(부가속성) 컬럼 사용 — 벤더별 추가 설정을 JSON으로 보관.,N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
부여,GRANT,Grant,賦與. 권한이나 자격 따위를 주어 가짐,N,,,,,,,
불가,IMPS,Impossible,"不可. 어떤 행위가 허용되지 않거나 가능하지 않음 또는 찬성과 반대를 결정할 때에, 반대를 표시하는 말",N,,,,,,,
블롭,BLOB,Blob,Blob. Binary Large Object. 이진 대용량 객체 저장 단위.,N,,,,,,,
비율,RT,Rate,比率.  다른 수나 양에 대한 어떤 수나 양의 비,Y,율,"율, 률",,,,,
비트,BIT,Bit,"BIT. (Binary digit) 모든 컴퓨터 정보(텍스트, 이미지, 영상 등)의 기초 표현 단위",N,,,,,,,
사용,USE,Use,使用. 일정한 목적이나 기능에 맞게 씀,N,,,,,,,
사유,RSN,Reason,事由. 일의 까닭,Y,내용,,,,,,
상단,UPEND,Upper End,上段. 위에 있는 단,N,,,,,,,
상대,RLT,Relative,相對. 서로 대비함,N,,,,,,,
상세,DTL,Details,詳細. 낱낱이 자세함,N,,세부,,,,,
상용,CMCL,Commercial,"商用. 영리(이윤, 장사)를 목적으로 사용하는 것",N,,,,,,,
상위,UP,Upper,上位. 높은 위치나 지위,N,,,,,,,
상태,STTS,Status,狀態. 사물ㆍ현상이 놓여 있는 모양이나 형편,N,,,,,,,
상하,TILT,Tilt,上下. 위쪽 또는 아래쪽,N,,,,,,,
색상,COLR,Color,"色相. 색을 빨강, 노랑, 파랑 따위로 구분하게 하는, 색 자체가 갖는 고유의 특성",N,,,,,,,
샘플,SAMPLE,Sample,학습데이터셋을 구성하는 개별 학습 단위. 영상자산·주석·이미지 등으로 이루어진 하나의 데이터 단위.,N,,,,,,,D004 ERD-010 학습데이터 물리모델
생성,CRT,Creation,生成. 사물이 생겨남. 또는 사물이 생겨 이루어지게 함. 이전에 없었던 어떤 사물이나 성질의 새로운 출현,N,,,,,,,
생활,LIV,Living,일상에서 살아가는 모든 행위,N,,,,,,,
서면,DOC,Document,書面. 문서 형태의 교재. 교재 형식 구분(서면/동영상/온라인강좌)에서 사용.,N,,,,,,,발주처 관제인력 교육현황 조사 양식
서명,SIGN,Signature,署名. 자기의 이름을 써넣음 또는 써넣은 것,N,,,,,,,
서버,SRVR,Server,Server. 주된 정보의 제공이나 작업을 수행하는 컴퓨터 시스템,N,,,,,,,
선별,SLCT,Select,선별관제 — 관제 대상 영상 중 골라서 선택하는 행위.,N,,,,,,,KLID-2 사업 자체
설명,EXPLN,Explanation,說明. 어떤 일이나 대상의 내용을 상대편이 잘 알 수 있도록 밝혀 말함. 또는 그런 말,Y,내용,,,,,,
설정,STNG,Setting,設定. 새로 만들어 정해 둠,N,,,,,,,
설치,INSTL,Installation,設置. 어떤 일을 하는 데 필요한 기관이나 설비 따위를 베풀어 둠,N,,,,,,,
성공,SCS,Success,成功. 목적하는 바를 이룸,N,,,,,,,
세부,DTL,Detail,상세 구분. 세부이벤트·세부코드 등 하위 분류 표현.,N,,,,,,,KLID-2 사업 자체
세션,SESS,Session,일정 시간 동안 유지되는 사용자와 시스템 간의 연결 상태,N,,,,,,,
소비,CNSM,Consume,消費. 자원(배경이미지 등)이 작업에 사용·소진되는 것.,N,,,,,,,KLID-2 D007 ERD-007
소속,AFFL,Affiliation,所屬. 단체나 기관 등에 속하여 있는 것,N,,,,,,,
속도,SPD,Speed,速度. 물체가 나아가거나 일이 진행되는 빠르기,Y,수,,,,,,
속성,ATRB,Attribute,屬性. 사물의 특징이나 성질,N,,,,,,,
송신,SEND,Send,"送信. 데이터·메시지를 보내는 행위. 수신(RCPTN)과 짝. KLID 2차에서 통합플랫폼 연계의 송신코드(send_cd)에 사용. gov ""송수신(TRRC)""이 있으나 단방향 송신은 별도 단어로 등록.",N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
수신,RCPTN,Reception,受信. 우편이나 전보 따위의 통신을 받음,N,,,받는,,,,
수정,MDFCN,Modification,修正. 바로잡아 고침,N,,,,,,,
수집,CLCT,Collection,蒐集. 취미나 연구를 위하여 여러 가지 물건이나 재료를 찾아 모음. 또는 그 물건이나 재료,N,,,,,,,
순서,SEQ,Sequence,"順序. 정하여진 기준에서 말하는 전후, 좌우, 상하 따위의 차례 관계",Y,순서,,,,,,
숨김,HIDE,Hide,공지 '다시 보지 않음'(notice_dismissals) 처리. 사용자가 특정 공지를 더 이상 표시하지 않도록 숨김.,N,,,,,,,D006 ERD-014 정합
승인,APRV,Approval,承認. 어떤 사실을 마땅하다고 받아들임. 어떤 특정한 행위에 대하여 행하는 승낙이나 동의,N,,,,,,,
시간,HR,z,時間. 어떤 시각에서 어떤 시각까지의 사이,Y,시분초,,,,,,
시간,TIME,Time,Time. 시간 단위. time_bucket·time_bucket_kind.,N,,,,,,,
시도,ATMPT,Attempt,試圖. 어떤 일을 이루려고 실행함,N,,,,,,,
시설,FAC,Facility,"施設. 어떤 목적에 맞게 만들어진 설비, 장소",N,,,,,,,
시작,BGNG,Beginning,始作. 어떤 일이나 행동의 처음 단계를 이루거나 그렇게 하게 함. 또는 그 단계,N,,,,,,,
식별,Identification,Identification,識別. 분별하여 알아봄,N,,,,,,,
신규,NEW,New,New. 새로운. new_decision (감사에서 변경 후 값).,N,,,,,,,
신청,APLY,Apply,申請. 단체나 기관에 어떠한 일이나 물건을 알려 청구함,N,,,,,,,
실패,FAIL,Failure,失敗. 일을 잘못하여 뜻한 대로 되지 아니하거나 그르침,N,,,,,,,
액션,ACTN,Action,원격 액션 일반. 관제자가 중계서버에 실행하는 명령 (재시작·설정 변경 등).,N,,,,,,,KLID-2 사업 자체
업무,TASK,Task,業務. 직장 같은 곳에서 맡아서 하는 일,N,,,,,,,
에러,ERR,Error,오류 일반. 시스템 동작 실패·예외 상황의 표현.,N,,,,,,,KLID-2 사업 자체
여부,YN,Yes Or No,與否. 그러함과 그러하지 아니함,Y,여부,,,,,,
연도,YR,Year,年度. 일정한 기간 단위로서의 그 해,Y,연도,년도,,,,,
영상,VDO,Video,시각적인 장면이 연속적으로 표현된 매체,N,,,,,,,
예정,PRNMNT,Prearrangement,豫定. 앞으로 일어날 일이나 해야 할 일을 미리 정하거나 생각함,N,,,,,,,
오류,ERR,Error,誤謬. 그릇되어 이치에 맞지 않는 일로 연산 처리 장치의 잘못된 동작이나 소프트웨어의 잘못 때문에 생기는 계산값과 참값과의 오차 등을 뜻함,N,,,,,,,
오탐,FP,False Positive,VLM·룰셋이 잘못 탐지한 사례. 실제 이벤트가 아닌데 이벤트로 판정한 경우.,N,,,,,,,KLID-2 사업 자체
외부,OBND,Outbound,시스템 경계 바깥. outbound API·외부 시스템 호출 방향 분류.,N,,,,,,,KLID-2 사업 자체
요일,DOW,Day Of The Week,曜日. 일주일의 각 날을 이르는 말,N,,,,,,,
요청,DMND,Demand,要請. 필요한 어떤 일이나 행동을 청함. 또는 그런 청,N,,,,,,,
용량,CPCT,Capacity,容量. 가구나 그릇 같은 데 들어갈 수 있는 분량,Y,수,,,,,,
워커,WORKER,Worker,큐에 적재된 작업을 비동기로 처리하는 처리 단위(프로세스).,N,,,,,,,D004 ERD-010 학습데이터 물리모델
원격,RM,Remote,遠隔. 멀리 떨어진 곳에서 조작/통신하는 것,N,,,,,,,
원본,ORGNL,Original,原本. 베끼거나 고친 것에 대하여 근본이 되는 서류나 문건 따위,N,,,,,,,
원시,RAW,Raw,"Raw. 날 것의, 익히지 않은, 가공하지 않은, 다듬지 않은, 원래 상태의, 원재료의",N,,,,,,,
원천,ORGN,Origin,Origin. 원천·기원. source_origin_id에서 원천 식별자 의미.,N,,,,,,,
웹훅,WHK,Webhook,외부 시스템이 이벤트 발생 시 HTTP 콜백으로 통지하는 방식. ADR-059 완료 감지 수신.,N,,,,,,,KLID-2 D007 ERD-007
위도,LAT,Latitude,"緯度, 동서 방향의 눈금으로 나타내며, 적도를 0으로 하여 남북으로 각각 평행하게 90등분하여 지구 표면을 재는 좌표",N,,,,,,,
유형,TYPE,Type,類型. 성질이나 특징 따위가 공통적인 것끼리 묶은 하나의 틀. 또는 그 틀에 속하는 것,N,,,,,,,
응답,RESP,Response,Response. 요청에 대한 응답. selective_collection_responses 테이블 기본 단어.,N,,,,,,,
이력,HSTRY,History,"履歷. 지금까지 거쳐 온 학업, 직업, 경험 등의 내력",N,,,,,,,
이슈,ISSUE,Issue,Issue. 서로 다투는 중심이 되는 점,N,,쟁점,,,,,
이전,PRV,Previous,시간/순서 분류 — 직전. '회전이전세션' 등 회전·교체·이력 추적에 사용.,N,,,,,,,KLID-2 사업 자체
인물,PRSN,Personage,人物. 생김새나 됨됨이로 본 사람,N,,,,,,,
일수,DCNT,Day Count,기간을 일(日) 단위로 표현한 수치. ADR-009 만료정책 보존기간일수 등.,Y,수,,,,,,KLID-PT D005 ERD-006
일시,DT,Date And Time,日時. 날짜와 시간을 아울러 이르는 말로 연월일시분초를 나타냄,Y,연월일시분초,,,,,,
일일,DLY,Daily,一日. 하루 동안. 하루 단위로 반복·집계되는 주기를 나타내는 수식 단어 (예: 일일 최대 처리 건수). 행안부 공통표준단어에 '일일' 미등재로 사업 자체 등록(단어 '일' DAY gov 2044 의 하루 단위 파생).,N,,,,,,,KLID-2 D001 ERD-005 max_vlm_dly_nocs rename (2026-07-08)
일자,YMD,Year Month Day,日子/日字. 어느 날이라고 정한 날로 연월일을 나타냄,Y,연월일,,,,,,
일정,SCHDL,Schedule,日程. 일정한 기간 동안 해야 할 일의 계획을 날짜별로 짜 놓은 것,N,,스케줄,,,,,
일지,JRN,Journal,시간순 기록물. 관제일지 등 운영 기록.,N,,,,,,,KLID-2 사업 자체
읽기,RD,Read,데이터 읽기. read timeout(데이터 수신 대기 제한) 구성용.,N,,,,,,,KLID-2 D007 ERD-007
입력,INPUT,Input,入力. 데이터를 시스템에 넣는 행위,N,,,,,,,
자산,ASST,Asset,Asset. 영상 본체 파일·메타데이터를 묶은 처리 단위. v2_video_assets 테이블의 핵심 단어.,N,,,,,,,
자체,INTNL,Internal,自體. 조직 내부에서 독자적으로 관리하거나 부여하는 것,N,,,,,,,
작성,WRT,Writing,"作成. 서류, 원고 따위를 만듦",N,,,,,,,
작업,JOB,Job,作業. 일을 함. 또는 그 일로 일정한 목적과 계획 아래 하는 일,N,,,,,,,
장비,EQPMNT,Equipment,裝備. 갖추어 차림. 또는 그 장치와 설비,N,,,,,,,
장소,PLC,Place,場所. 어떤 일이 이루어지거나 일어나는 곳,N,,,,,,,
장치,DEV,Device,"裝置. 어떤 목적을 위한 도구, 설비, 기기",N,,,,,,,
재난,DIS,Disaster,災難. 뜻하지 않게 입는 큰 재해나 사고,N,,,,,,,
저작,ATHRNG,Authoring,학습데이터 저작. 영상 업로드→마킹→프레임추출→라벨링 작업 일련의 과정. D003 핵심 단어.,N,,,,,,,KLID-PT D003 저작·AI증강 도메인
저장,STRG,Storage,貯藏. 물건이나 재화 따위를 모아서 간수함,N,,,,,,,
적용,APLCN,Application,適用. 알맞게 이용하거나 맞추어 씀,N,,,,,,,
전송,TRSM,Transmission,電送. 통신회선을 이용하여 보냄,N,,송신,,,,,
전원,PWR,Power,"電源. 전기의 근원, 전기를 공급하는 장치",N,,,,,,,
전자,ELEC,Electronic,전기를 이용하는 방식의 특성,N,,,,,,,
점수,SCR,Score,Score. 점수·수치 평가. vlm_score(0~100).,N,,,,,,,
접두,PRFX,prefix,식별·표시용 앞부분 문자열. 키 표시접두(key_prefix).,N,,,,,,,
접속,ACCS,Access,"連接·接續. 네트워크나 시스템, 서비스 등에 연결하여 이용하는 것",N,,,,,,,
정렬,SORT,Sort,整列. 가지런하게 줄지어 늘어섬. 또는 그렇게 늘어서게 함,N,,,,,,,
정보,INFO,Information,情報. 어떤 자료나 소식을 통하여 얻는 지식이나 상태의 총량,N,,,,,,,
정산,CLCLN,Calculation,精算. 정밀하게 계산함. 또는 그런 계산,N,,,,,,,
정탐,TP,True Positive,"True Positive. 정탐. vlm_score ≥ event_types.vlm_threshold. D001 오탐(478, FP)과 짝.",N,,,,,,,
제목,TTL,Title,"題目. 작품이나 강연, 보고 따위에서, 그것을 대표하거나 내용을 보이기 위하여 붙이는 이름",Y,명,,,,,,
제어,CTRL,Control,"管制. 기계, 설비, 교통, 통신, 보안 등에서, 일정한 목적과 기준에 따라 체계적으로 감시·통제·관리하는 것",N,,,,,,,
제조,MNFTR,Manufacture,製造. 공장에서 큰 규모로 물건을 만듦,N,,,,,,,
