사업표준도메인명,그룹,분류,데이터타입,길이,소수자릿수,저장형식,설명
일련번호B20,번호,일련번호,BINGINT,20,,9223372036854769664,Auto Increment를 사용하는 ID값을 표현
수B20,수량,수,BINGINT,20,,9223372036854769664,셀 수 있는 사물을 세어서 나타낸 값
연월일시분초D,날짜/시간,연월일시분초,DATETIME,,,YYYYMMDDHH24MISS,"특정한 시간을 연(年), 월(01~12), 일(01~31), 시(00~23), 분(00~59), 초(00~59)까지 정하여 날짜형 데이터로 표현한 것"
좌표D10,좌표,좌표,DECIMAL,3,7,999.9999999,"위도 및 경도 값을 정수 3자리, 소수 7자리까지 표현한 것"
수D5,치수,수,DECIMAL,4,1,9999.9,높이를 정수 4자리 소수 1자리까지 표현한 것
정확도D9,치수,정확도,DECIMAL,5,4,9.9999,AI/VLM 등 모델 탐지 정확도 (0.0000~1.0000). 정수 5 + 소수 4 = D9. KLID 2차 등록 (2026-05-29) — gov/program 미보유 신규 도메인
수I11,수량,수,INTEGER,11,,99999999999,셀 수 있는 사물을 세어서 나타낸 값
IP주소V45,명칭,주소,VARCHAR,45,,45자 이내 문자,IPv6 표준 IP 주소 (IPv4-mapped IPv6 포함 최대 45자). gov 주소V15는 IPv4 전용이라 부족. KLID 2차 등록 (2026-05-29) — gov/program 미보유 신규 도메인
JSONV4000,기타,기타,VARCHAR,4000,,4000자리 이내 JSON 형식 문자,JSON 값
내용LT,내용,내용,LONGTEXT,1,,4000자리 이상 문자,문자형 데이터를 정의한 것
정렬N10,번호,정렬순서,NUMERIC,10,,9999999999,정렬순서
수N10,수량,수,NUMERIC,10,,9999999999,셀 수 있는 사물을 세어서 나타낸 값
수N14,수량,수,NUMERIC,14,,99999999999999,셀 수 있는 사물을 세어서 나타낸 값
수N2,수량,수,NUMERIC,2,,99,셀 수 있는 사물을 세어서 나타낸 값
일련번호N20,번호,일련번호,NUMERIC,20,0,999999999999999999,일련번호
위치P,좌표,위치,POINT,,,POINT(경도 위도),SPATIAL INDEX 용 WGS84 좌표. ST_Distance_Sphere 등 공간 검색에 사용. KLID 2차 등록 (2026-05-29) — gov/program 미보유 신규 도메인
시분초T,날짜/시간,시분초,TIME,6,,HHMMSS,"특정한 시간을 시(00~23), 분(00~59), 초(00~59)까지 정하여 날짜형 데이터로 표현한 것"
여부V1,코드,여부,VARCHAR,1,,1자리 문자,Y/N 여부 값
명V1,명칭,명,VARCHAR,1,,1자리 이내 문자,"다른 것과 구별하기 위하여 사물, 단체, 현상 따위에 붙여서 부르는 말. '이름'의 뜻을 나타내는 말"
코드V10,코드,코드,VARCHAR,10,,10자리 이내 문자,정보를 나타내기 위한 기호 체계로 고정된 데이터 길이로 표현한 것
번호V100,번호,번호,VARCHAR,100,,100자리 이내 문자,차례를 나타내거나 식별하기 위해 붙이는 숫자나 문자를 고정되지 않은 길이로 정의한 것
