사업표준용어명,영문약어,설명,공공도메인,사업도메인,데이터타입,길이,허용값,저장형식,표현형식,이음동의어,출처
명,NM,사람/객체 등의 한글 이름. 관리자 user_nm(로그인 ID) 과 별도의 표시 이름 컬럼,,,V,100,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
가로,WDTH,이미지 가로 px (최소 640). background_images.width,수N10,,,,,,,,KLID-2 D007 ERD-007
간격,INTV,"반복 동작 사이의 간격. 마킹 프레임 간격(FRME_INTV) 등에 사용.

[영문] Interval. gov 공통표준 8차 미등재 기술용어 — 사업 자체 등록.",,,N,10,,,,,KLID 저작도구 표준화 2026-05-30 (gov 미존재 기술용어)
결과,RSLT,"행위·요청·실행의 결과값. 단일 단어 용어. 단어: 결과(RSLT, gov 199). success/failed/timeout 등.",명V20,,,,,,,,KLID-2 D001 ERD-005
계층,LVL,"항목의 단계, 계층, 수준

[영문] Level",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
내용,CN,공지사항 본문 내용(Markdown). 내용(gov:584).,내용V4000,,,,,,,,KLID-PT D003 ERD-003 notices.content
너비,WDTH,"너비 또는 가로 방향의 길이

[영문] Width",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
라벨,LBL,운영자 식별용 표시명. genai_endpoints.label,명V100,,,,,,,,KLID-2 D007 ERD-007
버전,VER,"해당 항목 또는 파일의 버전 정보

[영문] Version",명V20,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
변형,VARIANT,"배포 변형(데이터셋 버전의 배포 목적별 변종). 단어: 변형(VARIANT, program 571). dispatch_jobs.variant.",,,,,,,,,KLID-2 D004 ERD-010
본문,MTXT,"콘텐츠 본문 (service_requests.body, notices.body).",,,,,,,,,D006 ERD-014 정합
분류,CLSF,정탐/오탐 분류 (tp/fp). ADR-063 classification 컬럼.,,,,,,,,,
비고,RMRK,운영자 메모. genai_endpoints.notes,내용V4000,,,,,,,,KLID-2 D007 ERD-007
사유,RSN,이벤트 사유. 검수 반려(REJECT) 시 필수,,,V,500,,,,,KLID-저작도구 ERD-014
상태,STTS,배경이미지 상태(uploaded|consumed). background_images.status,명V20,,,,,,,,KLID-2 D007 ERD-007
설명,EXPLN,운영자용 설명,,,V,500,,,,,KLID-저작도구 ERD-016
성명,FLNM,회원의 성과 이름. 탈퇴 시 '탈퇴회원_NNN'으로 대체. 성명(gov:1354).,명V100,,,,,,,,KLID-PT D002 ERD-002 members.name
세로,VRTC,이미지 세로 px (최소 480). background_images.height,수N10,,,,,,,,KLID-2 D007 ERD-007
속성,ATRB,"해당 항목이나 객체가 가지는 성질이나 속성 값

[영문] Attribute",,JSONV4000,,,JSON,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
역할,ROLE,RBAC 역할 코드(ADR-010: MEMBER/OPERATOR/ADMIN). 역할(gov:1719).,,,V,20,,,,,KLID-PT D001 ERD-001 회원.역할
위치,LOCATION,"카메라 좌표 SPATIAL INDEX용 WGS84 POINT 값. ST_Distance_Sphere 공간 검색에 사용. 도메인=위치P (POINT, program_domain id=42)",,,,,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
제목,TTL,"콘텐츠 제목 (service_requests.title, notices.title).",,,,,,,,,D006 ERD-014 정합
